"Story","Title","Result","Date","Stability","Duration (s)"
"Car test","Test click on brand","SUCCESS","2022-10-28T09:07:56.88+05:30[Asia/Calcutta]","0.0","0.16"
"Car test","Test find new cars","SUCCESS","2022-10-28T09:07:56.885+05:30[Asia/Calcutta]","0.0","27.95"
